Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,11.520000,11.600000,11.310000,11.600000,11.600000,348000
2019-06-11,11.540000,11.690000,11.450000,11.460000,11.460000,345200
2019-06-12,11.670000,11.690000,11.510000,11.550000,11.550000,109500
2019-06-13,11.530000,11.840000,11.430000,11.600000,11.600000,344300
2019-06-14,11.690000,11.720000,11.320000,11.600000,11.600000,475700
2019-06-17,11.590000,11.740000,11.510000,11.560000,11.560000,150100
2019-06-18,11.690000,11.940000,11.590000,11.900000,11.900000,787900
2019-06-19,11.890000,12.330000,11.800000,12.300000,12.300000,221700
2019-06-21,12.300000,12.900000,12.300000,12.800000,12.800000,990700
2019-06-24,12.800000,12.910000,12.550000,12.760000,12.760000,367700
2019-06-25,12.740000,12.990000,12.660000,12.980000,12.980000,1743100
2019-06-26,12.900000,13.950000,12.860000,13.750000,13.750000,1344300
2019-06-27,13.750000,14.300000,13.750000,14.250000,14.250000,2098600
2019-06-28,14.350000,14.510000,14.000000,14.300000,14.300000,1554600
2019-07-01,14.420000,14.500000,13.760000,14.000000,14.000000,990900
2019-07-02,14.000000,14.100000,13.710000,13.800000,13.800000,273500
2019-07-03,13.850000,14.040000,13.620000,14.000000,14.000000,2832200
2019-07-04,13.940000,14.400000,13.940000,13.950000,13.950000,336300
2019-07-05,14.000000,14.370000,14.000000,14.200000,14.200000,2415300
2019-07-08,14.300000,14.780000,14.200000,14.780000,14.780000,1069800
2019-07-10,14.850000,15.500000,14.810000,15.300000,15.300000,1494100
2019-07-11,15.470000,15.630000,14.840000,15.080000,15.080000,1324100
2019-07-12,15.270000,15.440000,14.770000,15.010000,15.010000,162300
2019-07-15,15.010000,15.260000,14.900000,15.070000,15.070000,388600
2019-07-16,15.090000,15.140000,14.880000,15.000000,15.000000,133000
2019-07-17,15.000000,15.500000,15.000000,15.300000,15.300000,155200
2019-07-18,15.300000,15.870000,15.170000,15.500000,15.500000,297300
2019-07-19,15.620000,15.740000,15.240000,15.330000,15.330000,227100
2019-07-22,15.440000,15.960000,15.440000,15.800000,15.800000,718100
2019-07-23,15.890000,16.080000,15.850000,15.990000,15.990000,857500
2019-07-24,15.820000,16.150000,15.820000,15.950000,15.950000,446900
2019-07-25,16.180000,16.180000,15.720000,15.980000,15.980000,1867000
2019-07-26,16.000000,16.340000,15.970000,16.309999,16.309999,1397800
2019-07-29,16.320000,16.879999,16.309999,16.760000,16.760000,1345200
2019-07-30,16.750000,17.000000,16.650000,17.000000,17.000000,235800
2019-07-31,17.030001,17.190001,16.440001,17.090000,17.090000,584400
2019-08-01,17.059999,17.340000,16.730000,16.799999,16.799999,1399900
2019-08-02,16.799999,17.000000,16.510000,16.799999,16.799999,1710700
2019-08-05,16.600000,16.600000,16.100000,16.400000,16.400000,984200
2019-08-06,16.400000,16.709999,16.350000,16.700001,16.700001,572500
2019-08-07,16.750000,17.610001,16.730000,17.610001,17.610001,470300
2019-08-08,17.670000,18.180000,17.610001,18.180000,18.180000,301700
2019-08-09,18.180000,18.570000,17.910000,18.570000,18.570000,203800
2019-08-12,18.450001,18.459999,17.950001,18.290001,18.290001,611500
2019-08-13,18.200001,18.200001,17.549999,17.799999,17.799999,1028200
2019-08-14,18.000000,18.629999,17.209999,17.250000,17.250000,474000
2019-08-15,17.500000,17.540001,16.260000,16.549999,16.549999,1402800
2019-08-16,16.709999,17.799999,16.350000,17.799999,17.799999,1108600
2019-08-19,17.969999,17.969999,17.299999,17.700001,17.700001,399000
2019-08-20,17.700001,17.700001,17.120001,17.420000,17.420000,1185200
2019-08-21,17.400000,18.160000,17.309999,18.000000,18.000000,222500
2019-08-22,18.100000,18.580000,17.850000,18.350000,18.350000,1339200
2019-08-23,18.070000,19.200001,17.969999,18.500000,18.500000,872600
2019-08-26,18.709999,18.820000,18.010000,18.700001,18.700001,587300
2019-08-27,19.000000,19.400000,18.500000,18.900000,18.900000,710600
2019-08-28,18.600000,19.900000,18.299999,19.459999,19.459999,1947300
2019-08-29,19.480000,20.420000,19.430000,20.420000,20.420000,557500
2019-08-30,20.490000,21.090000,20.469999,20.750000,20.750000,944900
2019-09-02,20.750000,21.360001,20.580000,21.000000,21.000000,340500
2019-09-03,21.000000,21.950001,21.000000,21.330000,21.330000,924400
2019-09-04,21.750000,22.250000,21.510000,21.700001,21.700001,1207700
2019-09-05,21.709999,22.219999,21.190001,21.190001,21.190001,461900
2019-09-06,21.190001,21.299999,20.610001,20.850000,20.850000,948300
2019-09-09,21.000000,21.459999,19.950001,20.230000,20.230000,611800
2019-09-10,20.230000,20.230000,19.559999,20.090000,20.090000,349000
2019-09-11,20.370001,20.889999,19.940001,20.139999,20.139999,933300
2019-09-12,20.219999,20.299999,19.680000,19.940001,19.940001,415900
2019-09-13,20.000000,20.280001,19.120001,19.400000,19.400000,2704200
2019-09-16,19.500000,19.730000,18.820000,19.000000,19.000000,1080000
2019-09-17,19.080000,20.190001,18.879999,20.100000,20.100000,1145100
2019-09-18,20.260000,21.180000,20.200001,21.100000,21.100000,1567400
2019-09-19,21.230000,22.059999,21.230000,21.799999,21.799999,586300
2019-09-20,22.040001,22.490000,21.559999,22.049999,22.049999,1032800
2019-09-23,22.570000,22.590000,21.790001,22.129999,22.129999,258600
2019-09-24,23.309999,23.709999,22.500000,22.500000,22.500000,1691800
2019-09-25,23.379999,23.600000,22.330000,22.850000,22.850000,1513200
2019-09-26,23.080000,23.270000,22.600000,23.059999,23.059999,621000
2019-09-27,23.110001,23.270000,22.650000,22.879999,22.879999,425400
2019-09-30,23.080000,23.120001,22.570000,22.570000,22.570000,504400
2019-10-01,22.750000,22.750000,22.100000,22.110001,22.110001,517200
2019-10-02,22.100000,22.219999,21.350000,21.400000,21.400000,478800
2019-10-03,21.510000,21.990000,21.459999,21.600000,21.600000,610400
2019-10-04,21.600000,22.850000,21.520000,22.200001,22.200001,953700
2019-10-07,22.240000,22.980000,22.000000,22.000000,22.000000,511600
2019-10-08,22.100000,22.100000,21.549999,21.850000,21.850000,324000
2019-10-09,21.889999,22.080000,20.850000,21.030001,21.030001,1216800
2019-10-10,21.049999,21.379999,20.969999,20.969999,20.969999,1209500
2019-10-11,21.070000,22.049999,21.070000,21.770000,21.770000,1753000
2019-10-14,22.040001,22.980000,21.730000,22.870001,22.870001,922100
2019-10-15,22.950001,24.230000,22.889999,23.370001,23.370001,1169600
2019-10-16,23.400000,23.910000,23.080000,23.700001,23.700001,774000
2019-10-17,23.790001,24.139999,23.670000,23.770000,23.770000,493800
2019-10-18,23.770000,24.170000,23.430000,23.540001,23.540001,547000
2019-10-21,23.700001,24.700001,23.219999,24.700001,24.700001,689100
2019-10-22,24.719999,25.600000,24.500000,25.400000,25.400000,754400
2019-10-23,25.580000,26.080000,25.150000,25.200001,25.200001,2305600
2019-10-24,25.290001,25.790001,24.910000,25.750000,25.750000,1233800
2019-10-25,26.000000,26.400000,25.309999,25.959999,25.959999,977400
2019-10-28,26.160000,27.690001,26.100000,27.000000,27.000000,974800
2019-10-29,27.900000,28.500000,27.000000,27.000000,27.000000,3282600
2019-10-30,27.200001,27.790001,27.010000,27.030001,27.030001,986800
2019-10-31,27.059999,27.370001,26.700001,26.990000,26.990000,983900
2019-11-01,27.160000,27.900000,26.900000,27.270000,27.270000,793300
2019-11-04,27.480000,28.180000,27.480000,28.000000,28.000000,674600
2019-11-05,28.459999,28.840000,27.940001,27.969999,27.969999,572300
2019-11-06,28.190001,28.400000,27.900000,27.900000,27.900000,511100
2019-11-07,27.980000,28.350000,27.690001,28.000000,28.000000,513300
2019-11-08,27.870001,28.290001,27.490000,27.500000,27.500000,636200
2019-11-11,27.799999,28.790001,27.730000,28.250000,28.250000,1360200
2019-11-12,28.480000,29.120001,27.639999,27.990000,27.990000,1405000
2019-11-13,28.100000,28.209999,27.760000,27.799999,27.799999,593100
2019-11-14,28.170000,28.639999,26.850000,27.500000,27.500000,1658400
2019-11-18,27.940001,28.139999,27.340000,27.500000,27.500000,1045200
2019-11-19,27.719999,27.799999,27.120001,27.120001,27.120001,778500
2019-11-21,27.299999,27.410000,26.820000,26.900000,26.900000,699200
2019-11-22,26.910000,27.059999,26.379999,26.650000,26.650000,919200
2019-11-25,26.809999,27.700001,26.809999,27.340000,27.340000,1617500
2019-11-26,27.520000,27.600000,26.660000,26.780001,26.780001,1676700
2019-11-27,26.790001,27.010000,25.959999,26.200001,26.200001,1534800
2019-11-28,26.200001,26.969999,25.780001,26.790001,26.790001,1150500
2019-11-29,26.950001,27.459999,26.850000,27.020000,27.020000,1630000
2019-12-02,27.209999,29.090000,27.209999,28.680000,28.680000,1775700
2019-12-03,29.100000,30.180000,28.820000,30.120001,30.120001,1627600
2019-12-04,30.420000,30.799999,29.370001,29.650000,29.650000,2204100
2019-12-05,29.650000,30.639999,28.870001,30.469999,30.469999,1726200
2019-12-06,30.600000,31.400000,30.469999,30.650000,30.650000,1348800
2019-12-09,30.879999,31.059999,30.070000,30.110001,30.110001,590400
2019-12-10,30.150000,30.150000,29.570000,29.740000,29.740000,763900
2019-12-11,29.910000,30.900000,29.910000,30.760000,30.760000,1303000
2019-12-12,31.059999,32.619999,31.030001,32.250000,32.250000,1320800
2019-12-13,32.950001,33.799999,32.610001,33.000000,33.000000,1941500
2019-12-16,33.500000,34.480000,33.410000,33.709999,33.709999,1422400
2019-12-17,34.150002,34.310001,32.400002,32.630001,32.630001,1262300
2019-12-18,32.700001,33.380001,32.660000,33.180000,33.180000,1262800
2019-12-19,33.200001,33.700001,32.900002,33.349998,33.349998,679700
2019-12-20,33.480000,33.520000,33.040001,33.259998,33.259998,2528100
2019-12-23,33.259998,35.000000,33.259998,34.599998,34.599998,827300
2019-12-26,34.720001,35.770000,34.680000,35.049999,35.049999,940400
2019-12-27,35.349998,35.599998,34.799999,35.000000,35.000000,646400
2019-12-30,35.020000,35.439999,35.020000,35.180000,35.180000,643600
2020-01-02,35.410000,37.430000,35.290001,37.430000,37.430000,1312600
2020-01-03,37.000000,38.770000,36.529999,37.970001,37.970001,2515300
2020-01-06,37.970001,38.500000,37.160000,38.000000,38.000000,1231600
2020-01-07,38.000000,38.650002,38.000000,38.650002,38.650002,929800
2020-01-08,38.430000,39.209999,38.250000,38.650002,38.650002,978500
2020-01-09,38.720001,39.080002,38.340000,38.900002,38.900002,1002900
2020-01-10,38.900002,39.200001,38.820000,39.150002,39.150002,919400
2020-01-13,39.349998,40.549999,39.189999,40.259998,40.259998,1839000
2020-01-14,40.450001,42.020000,40.259998,41.770000,41.770000,1956900
2020-01-15,41.500000,43.020000,40.900002,42.299999,42.299999,2561700
2020-01-16,42.770000,43.290001,40.130001,40.220001,40.220001,2889100
2020-01-17,40.619999,41.430000,38.380001,39.299999,39.299999,3718300
2020-01-20,39.549999,41.270000,39.500000,40.740002,40.740002,1893400
2020-01-21,40.740002,41.500000,40.349998,40.799999,40.799999,1445700
2020-01-22,41.220001,41.599998,40.560001,41.000000,41.000000,1405300
2020-01-23,41.310001,41.310001,40.119999,40.680000,40.680000,950400
2020-01-24,40.750000,41.209999,39.799999,40.360001,40.360001,1110500
2020-01-27,39.419998,40.360001,38.240002,39.700001,39.700001,1317600
2020-01-28,39.450001,41.340000,38.910000,41.340000,41.340000,1763600
2020-01-29,41.900002,42.330002,41.009998,41.619999,41.619999,1294300
2020-01-30,40.630001,41.150002,39.000000,40.000000,40.000000,1862000
2020-01-31,39.410000,40.259998,39.099998,39.450001,39.450001,1600100
2020-02-03,39.450001,42.299999,39.450001,42.200001,42.200001,1703600
2020-02-04,42.840000,44.490002,42.799999,44.000000,44.000000,2134900
2020-02-05,43.500000,43.939999,42.520000,43.340000,43.340000,2731900
2020-02-06,45.209999,49.709999,45.209999,49.709999,49.709999,6803000
2020-02-07,51.009998,54.090000,46.700001,46.730000,46.730000,8429100
2020-02-10,46.720001,49.189999,46.509998,47.990002,47.990002,2911200
2020-02-11,49.000000,49.750000,48.080002,48.230000,48.230000,2189100
2020-02-12,48.730000,49.139999,47.049999,47.990002,47.990002,1198300
2020-02-13,47.040001,48.820000,45.880001,47.000000,47.000000,1557300
2020-02-14,47.680000,47.810001,46.259998,47.400002,47.400002,954600
2020-02-17,47.459999,49.000000,46.970001,49.000000,49.000000,907700
2020-02-18,48.700001,49.599998,48.099998,49.009998,49.009998,1138300
2020-02-19,49.450001,50.939999,49.139999,50.930000,50.930000,2000400
2020-02-20,51.180000,51.689999,50.209999,50.209999,50.209999,1003500
2020-02-21,49.660000,51.320000,48.560001,50.509998,50.509998,811000
2020-02-26,null,null,null,null,null,null
2020-02-27,47.000000,47.570000,44.500000,44.700001,44.700001,1773000
2020-02-28,43.509998,44.480000,40.560001,43.590000,43.590000,3154200
2020-03-02,44.099998,47.450001,44.099998,47.000000,47.000000,1962800
2020-03-03,47.880001,49.750000,46.299999,48.389999,48.389999,2101900
2020-03-04,49.840000,50.439999,47.310001,48.150002,48.150002,1380400
2020-03-05,47.990002,47.990002,43.200001,44.590000,44.590000,1378200
2020-03-06,41.000000,43.950001,39.799999,43.279999,43.279999,1754400
